Designator,Mid X,Mid Y,Rotation,Layer
D1,91.4,-92.0,-90.0,top
J1,121.09,-88.29,180.0,bottom
J2,82.45,-116.61,0.0,bottom
J3,121.09,-108.61,180.0,bottom
J4,82.45,-96.29,0.0,bottom
J5,90.3,-102.45,0.0,top
U1,107.8497,-93.9835,180.0,top
